City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,castro,-24.7911,-50.0119,71.2,74,0,2.24,BR,2023-03-31 20:41:57
1,liverpool,53.4106,-2.9779,51.62,89,75,5.75,GB,2023-03-31 20:50:27
2,teknaf,20.8624,92.3058,73.81,92,11,2.35,BD,2023-03-31 20:50:28
3,luderitz,-26.6481,15.1594,62.01,81,0,3.56,NA,2023-03-31 20:42:39
4,komsomolskiy,40.4272,71.7189,59.72,58,98,9.22,UZ,2023-03-31 20:50:28
5,puerto ayora,-0.7393,-90.3518,87.76,88,48,5.99,EC,2023-03-31 20:41:55
6,hermanus,-34.4187,19.2345,58.8,80,11,8.43,ZA,2023-03-31 20:41:57
7,carnarvon,-24.8667,113.6333,73.22,74,100,4.9,AU,2023-03-31 20:41:55
8,saskylakh,71.9167,114.0833,-3.14,94,100,15.26,RU,2023-03-31 20:42:28
9,bluff,-46.6,168.3333,55.8,91,100,6.49,NZ,2023-03-31 20:41:57
10,cabo san lucas,22.8909,-109.9124,88.61,52,40,5.75,MX,2023-03-31 20:42:23
11,mariental,-24.6333,17.9667,72.5,15,0,4.92,NA,2023-03-31 20:50:30
12,rikitea,-23.1203,-134.9692,79.66,75,96,7.9,PF,2023-03-31 20:40:55
13,longyearbyen,78.2186,15.6401,13.84,73,75,9.22,SJ,2023-03-31 20:42:42
14,vostok,46.4856,135.8833,22.08,86,12,3.49,RU,2023-03-31 20:42:13
15,ribas do rio pardo,-20.4431,-53.7592,81.84,69,52,4.9,BR,2023-03-31 20:50:30
16,busselton,-33.65,115.3333,64.35,72,95,12.37,AU,2023-03-31 20:41:58
17,navahrudak,53.6,25.8333,41.09,94,62,5.23,BY,2023-03-31 20:50:30
18,tuktoyaktuk,69.4541,-133.0374,-5.8,77,20,18.41,CA,2023-03-31 20:41:57
19,nikolskoye,59.7035,30.7861,30.09,98,100,6.31,RU,2023-03-31 20:41:59
